Query,Name,Probability
competency analytics,Swapna GOTTIPATI,0.9991503
competency analytics,OUH Eng Lieh,0.99912816
competency analytics,Venky SHANKARARAMAN,0.9987178
competency analytics,LEE Yeow Leong,0.99637705
competency analytics,HOE Siu Loon,0.9955609
competency analytics,Alan MEGARGEL,0.9920026
competency analytics,Chris POSKITT,0.9916732
competency analytics,Patrick THNG,0.987259
competency analytics,WANG Qiuhong,0.91818523
competency analytics,Benjamin GAN,0.12668109
competency analytics,Don TA,0.061994076
competency analytics,JIANG Lingxiao,0.010891755
competency analytics,Subhajit DATTA,0.0025777563
competency analytics,"HARA, Kotaro",0.00179179
competency analytics,Rajesh Krishna BALAN,0.0016527309
competency analytics,Michelle CHEONG,0.0014212203
competency analytics,WANG Hai,0.0013283462
competency analytics,Rafael J. BARROS,0.001238017
competency analytics,SUN Jun,0.0011076408
